Short Name,Long Name,Units,GSN Name
,,,
fert_subsidy,nitrogen fertilizer subsidy,percent,fertilizer~nitrogen__application_reduced_cost_fraction
,,,
land area,land allocation,ha,land_crop__allocated_area
,,,
production,crop production,kg,crop__produced_mass
